"idCountry","name","lastUpdate"
1,"Afghanistan","2010-01-02 00:00:00.0000000"
2,"Albania","2010-01-03 00:00:00.0000000"
3,"Algeria","2010-01-04 00:00:00.0000000"
4,"American Samoa","2010-01-05 00:00:00.0000000"
5,"Andorra","2010-01-06 00:00:00.0000000"
6,"Angola","2010-01-07 00:00:00.0000000"
7,"Anguilla","2010-01-08 00:00:00.0000000"
8,"Antigua And Barbuda","2010-01-09 00:00:00.0000000"
9,"Argentina","2010-01-10 00:00:00.0000000"
10,"Armenia","2010-01-11 00:00:00.0000000"
11,"Aruba","2010-01-12 00:00:00.0000000"
12,"Australia","2010-01-13 00:00:00.0000000"
13,"Austria","2010-01-14 00:00:00.0000000"
14,"Azerbaijan","2010-01-15 00:00:00.0000000"
15,"Bahamas, The","2010-01-16 00:00:00.0000000"
16,"Bahrain","2010-01-17 00:00:00.0000000"
17,"Bangladesh","2010-01-18 00:00:00.0000000"
18,"Barbados","2010-01-19 00:00:00.0000000"
19,"Belarus","2010-01-20 00:00:00.0000000"
20,"Belgium","2010-01-21 00:00:00.0000000"
21,"Belize","2010-01-22 00:00:00.0000000"
22,"Benin","2010-01-23 00:00:00.0000000"
23,"Bermuda","2010-01-24 00:00:00.0000000"
24,"Bhutan","2010-01-25 00:00:00.0000000"
25,"Bolivia","2010-01-26 00:00:00.0000000"
26,"Bosnia And Herzegovina","2010-01-27 00:00:00.0000000"
27,"Botswana","2010-01-28 00:00:00.0000000"
28,"Brazil","2010-01-29 00:00:00.0000000"
29,"Brunei","2010-01-30 00:00:00.0000000"
30,"Bulgaria","2010-01-31 00:00:00.0000000"
31,"Burkina Faso","2010-02-01 00:00:00.0000000"
32,"Burundi","2010-02-02 00:00:00.0000000"
33,"Cabo Verde","2010-02-03 00:00:00.0000000"
34,"Cambodia","2010-02-04 00:00:00.0000000"
35,"Cameroon","2010-02-05 00:00:00.0000000"
36,"Canada","2010-02-06 00:00:00.0000000"
37,"Cayman Islands","2010-02-07 00:00:00.0000000"
38,"Central African Republic","2010-02-08 00:00:00.0000000"
39,"Chad","2010-02-09 00:00:00.0000000"
40,"Chile","2010-02-10 00:00:00.0000000"
41,"China","2010-02-11 00:00:00.0000000"
42,"Christmas Island","2010-02-12 00:00:00.0000000"
43,"Colombia","2010-02-13 00:00:00.0000000"
44,"Comoros","2010-02-14 00:00:00.0000000"
45,"Congo (Brazzaville)","2010-02-15 00:00:00.0000000"
46,"Congo (Kinshasa)","2010-02-16 00:00:00.0000000"
47,"Cook Islands","2010-02-17 00:00:00.0000000"
48,"Costa Rica","2010-02-18 00:00:00.0000000"
49,"Côte D’Ivoire","2010-02-19 00:00:00.0000000"
50,"Croatia","2010-02-20 00:00:00.0000000"
51,"Cuba","2010-02-21 00:00:00.0000000"
52,"Curaçao","2010-02-22 00:00:00.0000000"
53,"Cyprus","2010-02-23 00:00:00.0000000"
54,"Czechia","2010-02-24 00:00:00.0000000"
55,"Denmark","2010-02-25 00:00:00.0000000"
56,"Djibouti","2010-02-26 00:00:00.0000000"
57,"Dominica","2010-02-27 00:00:00.0000000"
58,"Dominican Republic","2010-02-28 00:00:00.0000000"
59,"Ecuador","2010-03-01 00:00:00.0000000"
60,"Egypt","2010-03-02 00:00:00.0000000"
61,"El Salvador","2010-03-03 00:00:00.0000000"
62,"Equatorial Guinea","2010-03-04 00:00:00.0000000"
63,"Eritrea","2010-03-05 00:00:00.0000000"
64,"Estonia","2010-03-06 00:00:00.0000000"
65,"Ethiopia","2010-03-07 00:00:00.0000000"
66,"Falkland Islands (Islas Malvinas)","2010-03-08 00:00:00.0000000"
67,"Faroe Islands","2010-03-09 00:00:00.0000000"
68,"Fiji","2010-03-10 00:00:00.0000000"
69,"Finland","2010-03-11 00:00:00.0000000"
70,"France","2010-03-12 00:00:00.0000000"
71,"French Guiana","2010-03-13 00:00:00.0000000"
72,"French Polynesia","2010-03-14 00:00:00.0000000"
73,"Gabon","2010-03-15 00:00:00.0000000"
74,"Gambia, The","2010-03-16 00:00:00.0000000"
75,"Gaza Strip","2010-03-17 00:00:00.0000000"
76,"Georgia","2010-03-18 00:00:00.0000000"
77,"Germany","2010-03-19 00:00:00.0000000"
78,"Ghana","2010-03-20 00:00:00.0000000"
79,"Gibraltar","2010-03-21 00:00:00.0000000"
80,"Greece","2010-03-22 00:00:00.0000000"
81,"Greenland","2010-03-23 00:00:00.0000000"
82,"Grenada","2010-03-24 00:00:00.0000000"
83,"Guadeloupe","2010-03-25 00:00:00.0000000"
84,"Guam","2010-03-26 00:00:00.0000000"
85,"Guatemala","2010-03-27 00:00:00.0000000"
86,"Guinea","2010-03-28 00:00:00.0000000"
87,"Guinea-Bissau","2010-03-29 00:00:00.0000000"
88,"Guyana","2010-03-30 00:00:00.0000000"
89,"Haiti","2010-03-31 00:00:00.0000000"
90,"Honduras","2010-04-01 00:00:00.0000000"
91,"Hong Kong","2010-04-02 00:00:00.0000000"
92,"Hungary","2010-04-03 00:00:00.0000000"
93,"Iceland","2010-04-04 00:00:00.0000000"
94,"India","2010-04-05 00:00:00.0000000"
95,"Indonesia","2010-04-06 00:00:00.0000000"
96,"Iran","2010-04-07 00:00:00.0000000"
97,"Iraq","2010-04-08 00:00:00.0000000"
98,"Ireland","2010-04-09 00:00:00.0000000"
99,"Isle Of Man","2010-04-10 00:00:00.0000000"
100,"Israel","2010-04-11 00:00:00.0000000"
101,"Italy","2010-04-12 00:00:00.0000000"
102,"Jamaica","2010-04-13 00:00:00.0000000"
103,"Japan","2010-04-14 00:00:00.0000000"
104,"Jersey","2010-04-15 00:00:00.0000000"
105,"Jordan","2010-04-16 00:00:00.0000000"
106,"Kazakhstan","2010-04-17 00:00:00.0000000"
107,"Kenya","2010-04-18 00:00:00.0000000"
108,"Kiribati","2010-04-19 00:00:00.0000000"
109,"Korea, North","2010-04-20 00:00:00.0000000"
110,"Korea, South","2010-04-21 00:00:00.0000000"
111,"Kosovo","2010-04-22 00:00:00.0000000"
112,"Kuwait","2010-04-23 00:00:00.0000000"
113,"Kyrgyzstan","2010-04-24 00:00:00.0000000"
114,"Laos","2010-04-25 00:00:00.0000000"
115,"Latvia","2010-04-26 00:00:00.0000000"
116,"Lebanon","2010-04-27 00:00:00.0000000"
117,"Lesotho","2010-04-28 00:00:00.0000000"
118,"Liberia","2010-04-29 00:00:00.0000000"
119,"Libya","2010-04-30 00:00:00.0000000"
120,"Liechtenstein","2010-05-01 00:00:00.0000000"
121,"Lithuania","2010-05-02 00:00:00.0000000"
122,"Luxembourg","2010-05-03 00:00:00.0000000"
123,"Macau","2010-05-04 00:00:00.0000000"
124,"Macedonia","2010-05-05 00:00:00.0000000"
125,"Madagascar","2010-05-06 00:00:00.0000000"
126,"Malawi","2010-05-07 00:00:00.0000000"
127,"Malaysia","2010-05-08 00:00:00.0000000"
128,"Maldives","2010-05-09 00:00:00.0000000"
129,"Mali","2010-05-10 00:00:00.0000000"
130,"Malta","2010-05-11 00:00:00.0000000"
131,"Marshall Islands","2010-05-12 00:00:00.0000000"
132,"Martinique","2010-05-13 00:00:00.0000000"
133,"Mauritania","2010-05-14 00:00:00.0000000"
134,"Mauritius","2010-05-15 00:00:00.0000000"
135,"Mayotte","2010-05-16 00:00:00.0000000"
136,"Mexico","2010-05-17 00:00:00.0000000"
137,"Micronesia, Federated States Of","2010-05-18 00:00:00.0000000"
138,"Moldova","2010-05-19 00:00:00.0000000"
139,"Monaco","2010-05-20 00:00:00.0000000"
140,"Mongolia","2010-05-21 00:00:00.0000000"
141,"Montenegro","2010-05-22 00:00:00.0000000"
142,"Morocco","2010-05-23 00:00:00.0000000"
143,"Mozambique","2010-05-24 00:00:00.0000000"
144,"Myanmar","2010-05-25 00:00:00.0000000"
145,"Namibia","2010-05-26 00:00:00.0000000"
146,"Nepal","2010-05-27 00:00:00.0000000"
147,"Netherlands","2010-05-28 00:00:00.0000000"
148,"New Caledonia","2010-05-29 00:00:00.0000000"
149,"New Zealand","2010-05-30 00:00:00.0000000"
150,"Nicaragua","2010-05-31 00:00:00.0000000"
151,"Niger","2010-06-01 00:00:00.0000000"
152,"Nigeria","2010-06-02 00:00:00.0000000"
153,"Niue","2010-06-03 00:00:00.0000000"
154,"Norfolk Island","2010-06-04 00:00:00.0000000"
155,"Northern Mariana Islands","2010-06-05 00:00:00.0000000"
156,"Norway","2010-06-06 00:00:00.0000000"
157,"Oman","2010-06-07 00:00:00.0000000"
158,"Pakistan","2010-06-08 00:00:00.0000000"
159,"Palau","2010-06-09 00:00:00.0000000"
160,"Panama","2010-06-10 00:00:00.0000000"
161,"Papua New Guinea","2010-06-11 00:00:00.0000000"
162,"Paraguay","2010-06-12 00:00:00.0000000"
163,"Peru","2010-06-13 00:00:00.0000000"
164,"Philippines","2010-06-14 00:00:00.0000000"
165,"Pitcairn Islands","2010-06-15 00:00:00.0000000"
166,"Poland","2010-06-16 00:00:00.0000000"
167,"Portugal","2010-06-17 00:00:00.0000000"
168,"Puerto Rico","2010-06-18 00:00:00.0000000"
169,"Qatar","2010-06-19 00:00:00.0000000"
170,"Reunion","2010-06-20 00:00:00.0000000"
171,"Romania","2010-06-21 00:00:00.0000000"
172,"Russia","2010-06-22 00:00:00.0000000"
173,"Rwanda","2010-06-23 00:00:00.0000000"
174,"Saint Barthelemy","2010-06-24 00:00:00.0000000"
175,"Saint Helena, Ascension, And Tristan Da Cunha","2010-06-25 00:00:00.0000000"
176,"Saint Kitts And Nevis","2010-06-26 00:00:00.0000000"
177,"Saint Lucia","2010-06-27 00:00:00.0000000"
178,"Saint Martin","2010-06-28 00:00:00.0000000"
179,"Saint Pierre And Miquelon","2010-06-29 00:00:00.0000000"
180,"Saint Vincent And The Grenadines","2010-06-30 00:00:00.0000000"
181,"Samoa","2010-07-01 00:00:00.0000000"
182,"San Marino","2010-07-02 00:00:00.0000000"
183,"Sao Tome And Principe","2010-07-03 00:00:00.0000000"
184,"Saudi Arabia","2010-07-04 00:00:00.0000000"
185,"Senegal","2010-07-05 00:00:00.0000000"
186,"Serbia","2010-07-06 00:00:00.0000000"
187,"Seychelles","2010-07-07 00:00:00.0000000"
188,"Sierra Leone","2010-07-08 00:00:00.0000000"
189,"Singapore","2010-07-09 00:00:00.0000000"
190,"Sint Maarten","2010-07-10 00:00:00.0000000"
191,"Slovakia","2010-07-11 00:00:00.0000000"
192,"Slovenia","2010-07-12 00:00:00.0000000"
193,"Solomon Islands","2010-07-13 00:00:00.0000000"
194,"Somalia","2010-07-14 00:00:00.0000000"
195,"South Africa","2010-07-15 00:00:00.0000000"
196,"South Georgia And South Sandwich Islands","2010-07-16 00:00:00.0000000"
197,"South Sudan","2010-07-17 00:00:00.0000000"
198,"Spain","2010-07-18 00:00:00.0000000"
199,"Sri Lanka","2010-07-19 00:00:00.0000000"
200,"Sudan","2010-07-20 00:00:00.0000000"
201,"Suriname","2010-07-21 00:00:00.0000000"
202,"Svalbard","2010-07-22 00:00:00.0000000"
203,"Swaziland","2010-07-23 00:00:00.0000000"
204,"Sweden","2010-07-24 00:00:00.0000000"
205,"Switzerland","2010-07-25 00:00:00.0000000"
206,"Syria","2010-07-26 00:00:00.0000000"
207,"Taiwan","2010-07-27 00:00:00.0000000"
208,"Tajikistan","2010-07-28 00:00:00.0000000"
209,"Tanzania","2010-07-29 00:00:00.0000000"
210,"Thailand","2010-07-30 00:00:00.0000000"
211,"Timor-Leste","2010-07-31 00:00:00.0000000"
212,"Togo","2010-08-01 00:00:00.0000000"
213,"Tonga","2010-08-02 00:00:00.0000000"
214,"Trinidad And Tobago","2010-08-03 00:00:00.0000000"
215,"Tunisia","2010-08-04 00:00:00.0000000"
216,"Turkey","2010-08-05 00:00:00.0000000"
217,"Turkmenistan","2010-08-06 00:00:00.0000000"
218,"Turks And Caicos Islands","2010-08-07 00:00:00.0000000"
219,"Tuvalu","2010-08-08 00:00:00.0000000"
220,"Uganda","2010-08-09 00:00:00.0000000"
221,"Ukraine","2010-08-10 00:00:00.0000000"
222,"United Arab Emirates","2010-08-11 00:00:00.0000000"
223,"United Kingdom","2010-08-12 00:00:00.0000000"
224,"United States","2010-08-13 00:00:00.0000000"
225,"Uruguay","2010-08-14 00:00:00.0000000"
226,"Uzbekistan","2010-08-15 00:00:00.0000000"
227,"Vanuatu","2010-08-16 00:00:00.0000000"
228,"Vatican City","2010-08-17 00:00:00.0000000"
229,"Venezuela","2010-08-18 00:00:00.0000000"
230,"Vietnam","2010-08-19 00:00:00.0000000"
231,"Virgin Islands, British","2010-08-20 00:00:00.0000000"
232,"Wallis And Futuna","2010-08-21 00:00:00.0000000"
233,"West Bank","2010-08-22 00:00:00.0000000"
234,"Western Sahara","2010-08-23 00:00:00.0000000"
235,"Yemen","2010-08-24 00:00:00.0000000"
236,"Zambia","2010-08-25 00:00:00.0000000"
237,"Zimbabwe","2010-08-26 00:00:00.0000000"
